AccountCode,COCD1,MONTHNAME,VoucherDate,TradeDate,Vr No.,Narration,Ledger,BRS,Chq No,Debit,Credit,Running Bal.
TB86499,ALL,Jan-19,1/21/2019,1/21/2019,BP35449538,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,891297,4200,,-4200
TB86668,ALL,Jan-19,1/21/2019,1/21/2019,BR07071867,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,836453,,5000,5000
TB88022,ALL,Jan-19,1/21/2019,1/21/2019,BR24971823,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,952370,,500,500
TB91579,ALL,Jan-19,1/21/2019,1/21/2019,BP22349633,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999146,957.58,,-957.58
TB91634,ALL,Jan-19,1/21/2019,1/21/2019,BR16071740,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,817020,,700,700
TB91670,ALL,Jan-19,1/21/2019,1/21/2019,BR27828629,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,132728,,4800,4800
TB95357,ALL,Jan-19,1/21/2019,1/21/2019,BR05171697,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,728368,,3000,3000
TB98109,ALL,Jan-19,1/21/2019,1/21/2019,BR06928429,MCX BEING FUND REC THRG ATOM30003025281,HDFC3193,Y,252816,,1000,1000
TB98802,ALL,Jan-19,1/21/2019,1/21/2019,BR13271933,NSE_CASH BEING FUND REC THRG ATOM TB988,HDFC3304,Y,198558,,10000,10000
TB98880,ALL,Jan-19,1/21/2019,1/21/2019,BR08672015,NSE_CASH BEING FUND REC THROUGH ATOMMIC,HDFC3304,Y,262897,,1000,1000
